"filename", "language", "Gradle", "JSON", "Markdown", "Batch", "Java Properties", "Excel", "Java", "comment", "blank", "total"
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/drive/JoystickDrive.java", "Java", 0, 0, 0, 0, 0, 0, 61, 13, 23, 97
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/intake/AmpShot.java", "Java", 0, 0, 0, 0, 0, 0, 45, 9, 9, 63
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/intake/CollectNoteAuto.java", "Java", 0, 0, 0, 0, 0, 0, 18, 10, 4, 32
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/intake/CollectNoteV2.java", "Java", 0, 0, 0, 0, 0, 0, 26, 0, 4, 30
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/intake/IntakeActions.java", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/AlignShoot.java", "Java", 0, 0, 0, 0, 0, 0, 47, 9, 14, 70
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/AutoShootV2.java", "Java", 0, 0, 0, 0, 0, 0, 29, 9, 12, 50
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/LimelightAngle.java", "Java", 0, 0, 0, 0, 0, 0, 50, 11, 14, 75
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/ShootNote.java", "Java", 0, 0, 0, 0, 0, 0, 30, 9, 9, 48
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/ShootNoteAuto.java", "Java", 0, 0, 0, 0, 0, 0, 25, 9, 8, 42
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/ShootNoteTargetVisible.java", "Java", 0, 0, 0, 0, 0, 0, 32, 9, 9, 50
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/ShooterTune.java", "Java", 0, 0, 0, 0, 0, 0, 46, 9, 14, 69
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/SmartLuanch.java", "Java", 0, 0, 0, 0, 0, 0, 51, 0, 13, 64
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/SmartShooting.java", "Java", 0, 0, 0, 0, 0, 0, 69, 10, 15, 94
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/shooter/SmartShootingHorizontal.java", "Java", 0, 0, 0, 0, 0, 0, 36, 9, 11, 56
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/commands/turret/TurretVectoring.java", "Java", 0, 0, 0, 0, 0, 0, 54, 1, 12, 67
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/Angle.java", "Java", 0, 0, 0, 0, 0, 0, 136, 4, 33, 173
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/ClimberR2.java", "Java", 0, 0, 0, 0, 0, 0, 138, 12, 27, 177
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/Shooter.java", "Java", 0, 0, 0, 0, 0, 0, 191, 4, 44, 239
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/SwerveSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 206, 17, 57, 280
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/TurretSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 97, 7, 24, 128
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/VisionSubsystem.java", "Java", 0, 0, 0, 0, 0, 0, 103, 11, 25, 139
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/drive/SwerveModule.java", "Java", 0, 0, 0, 0, 0, 0, 19, 20, 16, 55
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/drive/modules/WPI_SwerveModule.java", "Java", 0, 0, 0, 0, 0, 0, 129, 28, 43, 200
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/intake/CollectorEncoderv2.java", "Java", 0, 0, 0, 0, 0, 0, 74, 0, 19, 93
"/home/samuel/Documents/code/FRC/Crescendo/src/main/java/frc/robot/subsystems/intake/Intake.java", "Java", 0, 0, 0, 0, 0, 0, 159, 13, 38, 210
"/home/samuel/Documents/code/FRC/Crescendo/src/test/java/CollectorTest.java", "Java", 0, 0, 0, 0, 0, 0, 55, 10, 24, 89
"/home/samuel/Documents/code/FRC/Crescendo/src/test/java/EventsTest.java", "Java", 0, 0, 0, 0, 0, 0, 26, 15, 11, 52
"/home/samuel/Documents/code/FRC/Crescendo/vendordeps/AdvantageKit.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 0, 42
"/home/samuel/Documents/code/FRC/Crescendo/vendordeps/ChoreoLib.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 43
"/home/samuel/Documents/code/FRC/Crescendo/vendordeps/Phoenix6.json", "JSON", 0, 339, 0, 0, 0, 0, 0, 0, 0, 339
"/home/samuel/Documents/code/FRC/Crescendo/vendordeps/REVLib.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 0, 74
"/home/samuel/Documents/code/FRC/Crescendo/vendordeps/WPILibNewCommands.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"Total", "-", 100, 1298, 22, 41, 7, 174, 5022, 586, 1204, 8454
